Sample_id	sbs_burden	dbs_burden	id_burden	sbs_log	dbs_log	id_log
zcc39	Low	Low	Mid	3.581835924	1.397940009	2.658011397
zcc40	Low	Low	Mid	3.246252312	0.84509804	2.617000341
zcc41	Low	Low	Mid	2.963315511	0.698970004	2.51851394
zcc42	Low	Low	Mid	3.096562438	0.77815125	2.53529412
zcc43	Low	Low	Mid	3.590953235	1.079181246	2.691965103
zcc44	Low	Low	Mid	3.216165902	1	2.727541257
zcc45	Low	Low	Mid	3.444981112	0.84509804	2.802773725
zcc46	Low	Low	Mid	3.152594078	1.079181246	2.515873844
zcc47	Low	Low	Mid	3.486996888	1.230448921	2.613841822
zcc48	Low	Low	Mid	3.691700208	1.447158031	2.797959644
zcc49	Low	Low	Mid	3.678791434	1.431363764	2.778874472
zcc50	Low	Low	Mid	3.309417226	1.653212514	2.802089258
zcc51	Low	Low	Mid	3.508933526	1.342422681	2.503790683
zcc52	Low	High	Mid	3.851441815	1.748188027	2.883093359
zcc53	Low	Low	Mid	2.95230801	1.041392685	2.501059262
zcc54	Low	Low	Mid	3.472756449	1.041392685	3.029789471
zcc55	Low	High	Mid	3.674861141	1.934498451	2.627365857
zcc56	Low	Low	Mid	3.522835314	1.380211242	2.954724791
zcc57	Low	High	Mid	3.993568483	2.045322979	2.731588765
zcc58	Low	High	Mid	3.886095732	1.785329835	3.124504225
zcc59	Low	Low	Mid	3.478566496	1.431363764	2.664641976
zcc60	Low	Low	Mid	3.570893036	1.255272505	3.145817714
zcc61	Low	Low	Mid	3.875061263	1.361727836	2.503790683
zcc62	Low	Low	Mid	3.310905629	0.954242509	2.663700925
zcc63	Low	High	Mid	3.865755224	1.929418926	3.026533265
zcc64	Low	Low	Mid	3.137986733	0.84509804	2.474216264
zcc65	Low	High	Mid	3.876448787	1.716003344	3.17868924
zcc66	Low	Low	Mid	3.28645647	1.204119983	2.463892989
zcc67	Low	Low	Mid	3.757547853	1.612783857	3.068927612
zcc68	Low	Low	Mid	3.160468531	0.84509804	2.63748973
zcc69	Low	Low	Mid	3.335858911	1.176091259	2.727541257
