	ID1	ID2	ID3	ID4	ID5	ID8	ID9	ID12	ID17	ID83L1	ID83I1	ID83I2	ID83I3/H1	ID83H2	ID83H3	ID83H4	ID83I4/H5
	MMRD/MSI	MMRD/MSI	Tobacco	Unknown	Unknown	Radiation	Unknown	Unknown	Top2A	Novel	Novel	Novel	Novel	Novel	Novel	Novel	Novel
KiCS0197_326711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0198_327862	116	52	0	0	176	295	0	0	0	0	179	0	0	0	0	0	0
KiCS0200_332386	101	196	0	0	0	0	97	0	0	0	0	0	133	0	0	0	0
KiCS0204_19_13898_A_02_00	113	88	0	0	0	0	166	0	169	0	0	165	0	0	0	0	0
KiCS0209_18_1512	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0
KiCS0212_333928	75	154	0	0	0	0	0	0	0	0	0	115	0	0	0	0	109
KiCS0214_18_2567	105	75	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0
KiCS0218_18_1530	223	324	202	0	0	0	0	0	0	0	0	182	0	0	0	0	104
KiCS0218_18_751	70	123	0	0	0	91	0	0	174	0	237	80	0	0	0	0	85
KiCS0218_20_11154_A_02_00	209	257	0	0	0	0	231	0	383	0	0	0	251	0	0	0	121
KiCS0220_18_3730	0	0	0	0	105	90	0	0	0	0	0	0	0	0	0	0	0
KiCS0220_18_8816_A_02_00	111	152	0	0	259	341	0	0	0	0	235	122	0	0	0	0	157
KiCS0221_18_2564	0	2038	0	0	0	833	0	0	0	0	0	0	0	0	0	0	0
KiCS0222_18_7573	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	50
KiCS0225_18_2571	0	0	113	0	149	171	0	0	0	0	122	0	0	0	0	0	0
KiCS0226_18_2569	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0
KiCS0227_18_2559	65	0	0	0	0	0	0	79	0	0	0	0	145	0	0	0	0
KiCS0228_18_7577	0	0	0	0	0	62	0	98	0	0	0	0	132	0	0	0	160
KiCS0228_18_7579	0	0	0	0	0	172	0	0	0	0	0	0	520	0	0	0	370
KiCS0235_18_4828	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0
KiCS0238_18_5640	0	0	0	0	0	61	0	0	0	0	0	0	136	0	0	0	65
KiCS0239_18_7570	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0
