	Signature	Precision	Recall	F1-score	Support	Positive Class (in Red)
193	Sig +	0.8936170212765957	0.7368421052631579	0.8076923076923077	57.0	"Platinum
Treated"
194	Sig -	0.8947368421052632	0.918918918918919	0.9066666666666667	37.0	TopRQ
195	Sig +	0.9166666666666666	0.8918918918918919	0.9041095890410958	37.0	TopRQ
196	Sig -	0.9166666666666666	1.0	0.9565217391304348	22.0	Sig+
197	Sig +	1.0	0.9090909090909091	0.9523809523809523	22.0	Sig+
198	Sig -	0.7777777777777778	0.9333333333333333	0.8484848484848485	15.0	Sig-
199	Sig +	0.9166666666666666	0.7333333333333333	0.8148148148148148	15.0	Sig-
200	Sig -	0.803030303030303	0.9298245614035088	0.8617886178861788	57.0	"Platinum
Treated"
201	Sig +	0.9166666666666666	0.7719298245614035	0.838095238095238	57.0	"Platinum
Treated"
202	Sig -	0.85	0.918918918918919	0.8831168831168831	37.0	TopRQ
203	Sig +	0.9117647058823529	0.8378378378378378	0.8732394366197184	37.0	TopRQ
204	Sig -	1.0	1.0	1.0	22.0	Sig+
205	Sig +	1.0	1.0	1.0	22.0	Sig+
206	Sig -	0.7647058823529411	0.8666666666666667	0.8125	15.0	Sig-
207	Sig +	0.8461538461538461	0.7333333333333333	0.7857142857142856	15.0	Sig-
208	Sig -	0.7868852459016393	0.8421052631578947	0.8135593220338982	57.0	"Platinum
Treated"
209	Sig +	0.8301886792452831	0.7719298245614035	0.8	57.0	"Platinum
Treated"
210	Sig -	0.8409090909090909	1.0	0.9135802469135803	37.0	TopRQ
211	Sig +	1.0	0.8108108108108109	0.8955223880597014	37.0	TopRQ
212	Sig -	0.9545454545454546	0.9545454545454546	0.9545454545454546	22.0	Sig+
213	Sig +	0.9545454545454546	0.9545454545454546	0.9545454545454546	22.0	Sig+
214	Sig -	0.8	0.8	0.8000000000000002	15.0	Sig-
215	Sig +	0.8	0.8	0.8000000000000002	15.0	Sig-
216	Sig -	0.78125	0.8771929824561403	0.8264462809917354	57.0	"Platinum
Treated"
217	Sig +	0.86	0.7543859649122807	0.8037383177570094	57.0	"Platinum
Treated"
218	Sig -	0.8809523809523809	1.0	0.9367088607594937	37.0	TopRQ
219	Sig +	1.0	0.8648648648648649	0.927536231884058	37.0	TopRQ
220	Sig -	1.0	1.0	1.0	22.0	Sig+
221	Sig +	1.0	1.0	1.0	22.0	Sig+
222	Sig -	0.8461538461538461	0.7333333333333333	0.7857142857142856	15.0	Sig-
223	Sig +	0.7647058823529411	0.8666666666666667	0.8125	15.0	Sig-
224	Sig -	0.7777777777777778	0.8596491228070176	0.8166666666666668	57.0	"Platinum
Treated"
225	Sig +	0.8431372549019608	0.7543859649122807	0.7962962962962964	57.0	"Platinum
Treated"
226	Sig -	0.8461538461538461	0.8918918918918919	0.868421052631579	37.0	TopRQ
227	Sig +	0.8857142857142857	0.8378378378378378	0.8611111111111112	37.0	TopRQ
228	Sig -	0.9565217391304348	1.0	0.9777777777777777	22.0	Sig+
229	Sig +	1.0	0.9545454545454546	0.9767441860465117	22.0	Sig+
230	Sig -	0.8666666666666667	0.8666666666666667	0.8666666666666667	15.0	Sig-
231	Sig +	0.8666666666666667	0.8666666666666667	0.8666666666666667	15.0	Sig-
232	Sig -	0.8	0.9122807017543859	0.8524590163934427	57.0	"Platinum
Treated"
233	Sig +	0.8979591836734694	0.7719298245614035	0.8301886792452831	57.0	"Platinum
Treated"
