Samples	SBS1	SBS2	SBS5	SBS7b	SBS13	SBS46
LKCGP-P001505-277736-01-01-01-D1	0	0	4	0	0	0
LKCGP-P001506-257579-01-02-05-P1	1	0	15	0	0	0
LKCGP-P001602-259355-01-01-01-R1	0	0	26	0	0	0
LKCGP-P001604-266608-01-04-01-P1	0	0	22	0	0	0
LKCGP-P001605-279155-01-01-21-D1	0	0	24	0	0	0
LKCGP-P001606-256646-01-01-01-R1	0	0	45	0	0	0
LKCGP-P001607-265708-01-06-01-D1	0	0	28	0	0	0
LKCGP-P001607-265709-01-06-21-D2	1	0	20	0	0	0
LKCGP-P001702-260384-01-06-01-D1	4	0	0	0	0	0
LKCGP-P001706-258995-02-06-01-D1	0	0	30	0	0	0
LKCGP-P001707-266282-12-02-05-R1	1	0	48	0	0	0
LKCGP-P001801-255648-01-02-05-R2	0	0	23	0	0	0
LKCGP-P001802-261468-01-01-01-D1	0	92	51	0	15	0
LKCGP-P001804-268871-01-03-01-D1	0	0	9	0	0	0
LKCGP-P001806-259724-01-04-01-P1	0	0	88	0	0	53
LKCGP-P001901-256209-01-01-01-R1	1	0	43	0	0	0
LKCGP-P001904-268846-01-01-20-D1	11	0	143	0	0	0
LKCGP-P001906-260072-01-04-01-R1	0	0	8	0	0	0
LKCGP-P001907-271574-01-06-01-D1	0	0	30	0	0	0
LKCGP-P002001-256357-01-02-01-R2	0	0	40	0	0	0
LKCGP-P002004-269139-01-04-01-R1	0	0	4	0	0	0
LKCGP-P002006-260311-01-02-05-R1	1	0	57	0	0	0
LKCGP-P002007-273584-01-03-05-R1	2	0	72	0	0	0
LKCGP-P002101-256446-01-02-19-R2	0	0	17	0	0	0
LKCGP-P002102-262924-01-04-01-D1	1	0	13	0	0	0
LKCGP-P002104-269055-01-04-01-D1	0	0	18	0	0	0
LKCGP-P002201-257247-01-04-01-R1	0	53	162	0	59	0
LKCGP-P002204-269605-01-03-04-R1	2	0	21	0	0	0
LKCGP-P002301-257587-01-04-01-D1	0	0	222	0	0	0
LKCGP-P002302-267630-01-01-01-D1	4	0	33	0	0	0
LKCGP-P002306-263873-01-01-01-D1	2	0	166	0	0	0
LKCGP-P002402-267982-01-04-01-P1	1	0	35	0	0	0
LKCGP-P002404-271735-01-01-01-D1	4	0	14	0	0	0
LKCGP-P002501-259744-01-03-05-R1	0	0	18	0	0	0
LKCGP-P002502-268459-01-02-05-R1	0	0	42	0	0	0
LKCGP-P002506-265070-01-01-01-P1	0	47	30	31	93	0
LKCGP-P002601-260323-01-04-01-P2	6	0	66	0	0	0
LKCGP-P002602-269189-01-04-01-D1	0	0	20	0	0	0
LKCGP-P002604-272051-01-04-01-D1	0	0	68	0	0	0
LKCGP-P002606-265650-01-06-19-R1	0	0	16	0	0	0
LKCGP-P002701-261129-01-04-21-D1	0	0	112	0	0	0
LKCGP-P002702-270641-01-04-01-R1	2	54	50	32	52	0
LKCGP-P002704-273230-01-04-01-R2	0	0	5	0	0	0
LKCGP-P002801-261252-01-02-05-R1	0	0	14	0	0	0
LKCGP-P002802-270846-01-01-01-D1	3	6	40	0	10	0
LKCGP-P002902-273015-01-02-03-P1	0	0	3	0	0	5
LKCGP-P002904-273913-01-01-01-D1	2	0	9	8	0	0
LKCGP-P002906-271853-01-04-01-D1	0	0	23	0	0	0
LKCGP-P003001-262058-01-03-01-P1	4	11	20	0	4	0
